lane,target,status,notes
hospital,UCHealth,pending,"collect provider directory pages, faculty pages, or staff rosters"
hospital,Denver Health,pending,"collect provider directory pages, faculty pages, or staff rosters"
hospital,Children's Hospital Colorado,pending,"collect provider directory pages, faculty pages, or staff rosters"
hospital,VA Eastern Colorado Health Care System,pending,"collect provider directory pages, faculty pages, or staff rosters"
hospital,HealthONE,pending,"collect provider directory pages, faculty pages, or staff rosters"
hospital,Centura / CommonSpirit,pending,"collect provider directory pages, faculty pages, or staff rosters"
university,CU Boulder,pending,"collect provider directory pages, faculty pages, or staff rosters"
university,CU Denver,pending,"collect provider directory pages, faculty pages, or staff rosters"
university,CU Anschutz,pending,"collect provider directory pages, faculty pages, or staff rosters"
university,Colorado State University,pending,"collect provider directory pages, faculty pages, or staff rosters"
university,University of Northern Colorado,pending,"collect provider directory pages, faculty pages, or staff rosters"
university,University of Denver,pending,"collect provider directory pages, faculty pages, or staff rosters"
university,UCCS,pending,"collect provider directory pages, faculty pages, or staff rosters"
university,Regis University,pending,"collect provider directory pages, faculty pages, or staff rosters"
