lane,target,status,notes
university,CU Boulder,pending,"collect faculty pages, staff pages, and provider directories"
university,CU Denver,pending,"collect faculty pages, staff pages, and provider directories"
university,CU Anschutz,pending,"collect faculty pages, staff pages, and provider directories"
university,Colorado State University,pending,"collect faculty pages, staff pages, and provider directories"
university,University of Northern Colorado,pending,"collect faculty pages, staff pages, and provider directories"
university,University of Denver,pending,"collect faculty pages, staff pages, and provider directories"
university,UCCS,pending,"collect faculty pages, staff pages, and provider directories"
university,Regis University,pending,"collect faculty pages, staff pages, and provider directories"
hospital,UCHealth,pending,"collect faculty pages, staff pages, and provider directories"
hospital,Denver Health,pending,"collect faculty pages, staff pages, and provider directories"
hospital,Children's Hospital Colorado,pending,"collect faculty pages, staff pages, and provider directories"
hospital,VA Eastern Colorado Health Care System,pending,"collect faculty pages, staff pages, and provider directories"
hospital,HealthONE,pending,"collect faculty pages, staff pages, and provider directories"
hospital,CommonSpirit / Centura,pending,"collect faculty pages, staff pages, and provider directories"
